Years,SSP245a,SSP245c,SSP245g,SSP245i
2015,17.78174591064453,17.42107,17.957626,19.024078369140625
2016,16.704526901245117,16.343512,18.036953,17.625577926635742
2017,18.310590744018555,17.276491,18.006891,16.01297950744629
2018,17.287429809570312,17.591156,20.19675,18.484426498413086
2019,14.248151779174805,16.451283,17.018152,19.76609992980957
2020,16.05325698852539,14.40864,16.89318,19.06470489501953
2021,16.215303421020508,13.857646,16.346485,16.418649673461914
2022,16.99168586730957,13.840857,15.564233,17.413827896118164
2023,17.95226287841797,15.31785,15.095557,15.777191162109375
2024,18.344905853271484,16.722872,17.222122,17.429054260253906
2025,17.333921432495117,16.59271,18.210672,19.088115692138672
2026,17.546154022216797,18.371273,17.873674,18.54405975341797
2027,17.788944244384766,21.885286,16.845486,18.043840408325195
2028,15.561077117919922,19.311384,17.167326,17.06910514831543
2029,13.363890647888184,16.78093,17.382835,17.14853858947754
2030,15.01374340057373,18.165138,18.566948,16.26371955871582
2031,16.339487075805664,18.234148,17.525015,13.54269790649414
2032,15.994879722595215,15.34814,14.422587,13.714249610900879
2033,15.576007843017578,14.598546,13.188821,14.170639991760254
2034,16.473237991333008,16.234034,15.816537,15.070022583007812
2035,16.48415184020996,15.695534,16.818033,14.93509578704834
2036,15.554086685180664,16.145887,16.170713,15.48436164855957
2037,16.120393753051758,14.942133,15.082148,14.738052368164062
2038,15.121109962463379,14.65747,14.352556,16.49420166015625
2039,14.430407524108887,14.66696,14.396588,14.887794494628906
2040,13.568312644958496,15.924487,14.768173,14.034832000732422
2041,14.048213958740234,16.464905,13.408952,12.458353996276855
2042,16.252948760986328,16.005064,13.093403,16.195140838623047
2043,16.21431541442871,15.401423,12.733612,13.348615646362305
2044,16.52622413635254,17.397133,14.534102,12.535181999206543
2045,15.562751770019531,15.101176,13.841536,11.070000648498535
2046,14.429845809936523,13.80459,14.293183,11.233549118041992
2047,12.718855857849121,12.97329,14.170685,12.526076316833496
2048,11.078591346740723,13.409443,14.661243,13.583492279052734
2049,11.75174617767334,13.441324,14.160876,13.497052192687988
2050,10.683367729187012,12.241957,14.114471,13.369260787963867
2051,10.513461112976074,12.472433,14.86229,11.745672225952148
2052,12.821659088134766,12.104675,15.162088,13.865395545959473
2053,11.201471328735352,12.192114,14.130285,12.547558784484863
2054,11.5538911819458,11.51955,12.480725,14.696274757385254
2055,11.324090003967285,12.202256,13.003375,12.771080017089844
2056,10.995867729187012,12.818701,13.961644,11.698197364807129
2057,10.780573844909668,11.81056,13.857103,11.346954345703125
2058,10.580971717834473,13.072644,13.562703,11.245959281921387
2059,10.616252899169922,12.611196,11.964913,11.233752250671387
2060,11.090875625610352,11.681592,10.785666,12.37327766418457
2061,11.586491584777832,11.287896,11.31967,12.478592872619629
2062,9.976645469665527,12.476178,11.649234,11.946998596191406
2063,10.367762565612793,12.21216,11.871338,12.001128196716309
2064,10.60664176940918,11.621554,13.167484,11.833542823791504
2065,10.409343719482422,11.535766,12.871061,10.598407745361328
2066,9.652861595153809,12.664105,12.810042,9.321356773376465
2067,9.657496452331543,12.649112,12.522813,8.37869930267334
2068,10.115527153015137,11.192421,11.234455,8.664055824279785
2069,9.79479694366455,11.44918,10.556592,9.982645034790039
2070,9.32390308380127,11.333892,10.636291,8.670072555541992
2071,10.519169807434082,9.345927,11.3170595,8.907803535461426
2072,9.43764877319336,9.615524,10.523514,7.793481826782227
2073,10.197420120239258,10.210491,10.169096,8.729910850524902
2074,10.031272888183594,9.076798,9.639445,9.354851722717285
2075,10.264147758483887,8.668051,10.211227,8.905499458312988
2076,9.011606216430664,8.747059,9.327341,9.541854858398438
2077,9.744420051574707,8.800246,8.575308,8.909707069396973
2078,9.785516738891602,8.335991,8.589,8.703483581542969
2079,10.643988609313965,9.922005,8.8167715,8.648711204528809
2080,9.737857818603516,10.086639,9.977848,8.873590469360352
2081,9.354084968566895,9.36246,9.402752,7.876669883728027
2082,9.092184066772461,9.685951,8.576304,8.66450309753418
2083,8.62286376953125,10.084557,8.642988,8.528928756713867
2084,8.739238739013672,10.202655,8.948081,7.926095485687256
2085,8.657845497131348,9.800098,9.156925,8.046430587768555
2086,8.585275650024414,10.624697,9.930759,7.680121421813965
2087,9.56847858428955,10.247519,10.314666,6.961850643157959
2088,9.288076400756836,8.102491,9.973594,7.809722423553467
2089,8.034880638122559,8.690485,10.1538515,9.302889823913574
2090,8.094551086425781,8.949659,9.293725,8.437366485595703
2091,8.394086837768555,8.351218,10.54869,8.161897659301758
2092,6.808599948883057,8.261963,9.115364,8.284770965576172
2093,6.875726222991943,9.305536,8.801939,8.939950942993164
2094,6.78978157043457,9.979785,8.763919,8.181831359863281
2095,6.265171527862549,8.659307,8.0319605,8.004533767700195
2096,6.060702800750732,8.67193,8.464645,7.440837383270264
2097,6.629422187805176,8.47368,6.6904554,6.426044940948486
2098,7.2965593338012695,9.957952,7.0831485,6.692154884338379
2099,6.715230464935303,7.84526,7.9091597,8.182307243347168
2100,6.600319862365723,8.365398,7.3977604,8.058769226074219
2101,7.142523288726807,8.812201,7.707079,6.191074848175049
2102,5.865702152252197,7.26848,7.2320375,6.159526824951172
2103,5.0913920402526855,6.6184278,7.9543033,6.147518634796143
2104,4.822254180908203,8.644975,8.705079,4.838995456695557
2105,5.520233631134033,9.152493,7.5645847,4.797709941864014
2106,5.02144718170166,7.701068,8.111964,6.352412223815918
2107,4.252777099609375,6.82312,8.66489,6.540739059448242
2108,4.2364959716796875,8.212915,7.91555,5.353517055511475
2109,5.49786901473999,7.2767544,7.990552,6.249541759490967
2110,4.9904327392578125,7.325202,7.4263167,6.482314109802246
2111,6.1794562339782715,7.5688376,6.1067214,5.613522052764893
2112,6.286045551300049,7.2815127,6.1953077,5.835176944732666
2113,6.461820125579834,7.0577693,6.6161137,7.395315170288086
2114,5.684633255004883,7.505404,6.933363,7.637390613555908
2115,5.163498401641846,8.004964,7.664474,7.209314823150635
2116,5.852567195892334,7.252003,7.215072,6.324271202087402
2117,4.428701877593994,8.600977,8.220218,6.209575176239014
2118,5.317152500152588,9.190978,8.123081,6.873000621795654
2119,5.685271263122559,9.13954,7.868184,5.28518533706665
2120,4.014391899108887,8.774644,7.133248,5.767946720123291
2121,5.423989772796631,9.65204,6.0791173,5.7223381996154785
2122,5.07912540435791,9.150319,6.356351,4.863615036010742
2123,4.382667064666748,9.017021,6.2153935,5.3200273513793945
