Years,SSP245a,SSP245c,SSP245g,SSP245i
2135,12.137393,15.086145,12.314686,12.579452
2136,11.559503,15.78202,12.882195,12.1181
2137,12.15183,15.40596,12.7255125,12.277496
2138,11.139477,15.422991,13.314398,11.92729
2139,10.5326,15.491302,12.461039,12.808033
2140,12.1236105,16.728077,13.360578,11.370998
2141,12.993689,15.541321,12.266415,11.475023
2142,12.13275,16.018465,13.734784,11.604708
2143,11.701395,15.200472,12.094584,11.890139
2144,12.043649,15.4663315,12.666996,11.736624
2145,11.469056,13.482615,12.90124,12.782113
2146,10.916382,13.683909,11.204483,11.215021
2147,10.9882345,15.740082,11.863746,11.781231
2148,12.419377,15.818563,11.364393,11.527263
2149,12.303149,14.581156,13.154353,10.955191
2150,10.231931,16.26953,13.770211,11.805971
2151,12.375839,15.264522,12.454795,11.115993
2152,11.86976,15.399999,11.81043,11.136271
2153,11.097394,16.336248,13.592812,11.178919
2154,11.831351,16.766346,12.549796,12.98379
2155,12.040826,15.416603,12.848174,11.148731
2156,12.030017,14.873902,12.419202,11.367341
2157,11.19185,16.52357,12.76956,11.553156
2158,11.698166,15.565756,12.696244,11.713608
2159,12.157335,14.914953,12.537168,11.865811
2160,12.389849,15.296387,12.324455,11.938702
2161,11.573404,16.781822,14.09286,11.235326
2162,11.197673,14.200869,13.183143,12.256329
2163,12.902044,14.523072,11.619095,11.445013
2164,11.634813,15.852719,12.347217,10.725436
2165,12.6413965,14.312366,11.739984,11.8899975
2166,12.329951,15.036889,11.502515,11.470063
2167,12.320199,16.0318,12.987079,11.5209875
2168,12.112692,16.297644,12.305828,11.852188
2169,11.065286,15.963109,13.542171,10.787878
2170,12.358149,18.406313,11.63783,10.723275
2171,11.747137,16.07057,12.910281,9.9683695
2172,12.0584135,16.771952,12.656389,10.831793
2173,10.348177,15.462562,11.771165,12.152054
2174,10.34894,17.988598,11.700294,12.340468
2175,12.11548,17.247192,12.115009,11.605937
2176,11.136007,17.503096,13.735153,11.235138
2177,12.124077,17.940716,12.890602,12.131436
2178,11.463694,16.766605,13.434216,11.573197
2179,11.315201,18.137106,12.804254,11.894866
2180,11.042171,17.018623,12.372766,10.670931
2181,12.023478,16.697004,12.81891,10.947721
2182,13.113005,18.57798,11.370256,12.47561
2183,12.117151,18.749546,13.380391,11.142243
2184,11.914331,17.45816,11.867427,12.102466
2185,12.641947,18.570728,11.875444,13.861624
2186,11.363199,17.6703,10.907159,11.804213
2187,11.299829,19.836218,11.092413,11.260854
2188,12.696785,18.748363,13.031813,11.990729
2189,11.404179,18.435286,12.176461,11.254865
2190,11.798644,18.96978,12.07199,11.004661
2191,11.334096,19.41466,12.588636,12.477839
2192,10.577982,20.453468,11.485304,11.472055
2193,10.317583,19.772038,12.917151,11.9022255
2194,10.884489,19.89701,11.883097,12.080658
2195,11.666609,18.919098,12.071652,11.238544
2196,10.4689665,19.200384,12.7642765,11.988593
2197,10.2572975,19.807905,12.31991,10.981322
2198,10.881878,20.481071,10.9763365,10.471552
2199,11.651072,20.129005,11.729427,11.028569
2200,11.587471,21.423908,11.559329,10.795022
2201,10.200719,19.986801,11.248081,11.917108
2202,11.234327,20.973566,12.411096,10.496231
2203,11.213617,21.426441,13.019714,10.219274
2204,10.415379,20.568716,11.632351,11.654434
2205,9.885452,19.971626,10.949573,11.41652
2206,11.157281,20.078531,12.585079,11.253227
2207,10.579699,19.229166,11.769402,11.258796
2208,10.213571,19.376808,12.033549,11.379838
2209,10.286554,20.830805,12.752505,11.021422
2210,9.287366,20.898384,11.577033,10.712018
2211,10.02644,21.135498,10.721106,12.21669
2212,10.260887,19.421585,11.978439,10.500402
2213,10.189663,19.43771,12.915126,11.320814
2214,10.363199,19.558258,12.568261,10.337815
2215,9.850822,19.040052,12.076943,11.450428
2216,11.582688,19.288149,11.926525,10.202852
2217,10.298249,19.973032,12.221878,10.899309
2218,10.704097,19.819746,10.846428,8.634439
2219,10.58792,20.401222,11.48723,10.579383
2220,9.908773,19.928896,12.470984,10.453946
2221,10.971636,19.60386,11.243893,10.592935
2222,10.701931,19.737913,11.667525,10.207066
2223,11.3096695,19.663445,10.738578,10.515786
2224,11.220216,20.54006,10.413177,10.036692
2225,9.714248,19.087254,12.700715,10.3701315
2226,10.241848,19.771832,11.6076,10.9858
2227,10.950333,18.0395,11.879098,11.12556
2228,10.938154,18.748451,11.580318,10.564158
2229,10.095188,19.583208,12.629339,10.136439
2230,10.779392,19.302301,11.370499,10.705452
2231,11.017575,19.018085,11.227548,10.359511
2232,10.0191765,17.933846,11.677604,11.791196
2233,9.589859,18.770178,12.5116825,11.795365
2234,10.577815,18.987034,12.343605,9.76983
2235,9.834699,18.441212,13.042368,9.245448
2236,9.248752,18.067085,12.705373,10.233144
2237,11.549307,17.744188,13.003534,10.713631
2238,10.863676,16.715855,12.383137,9.006876
2239,10.749532,16.780237,11.50364,9.674957
2240,11.827978,17.258385,11.646026,9.895886
2241,11.182026,15.64807,13.401474,9.238301
2242,10.397282,17.05886,12.4098625,10.48037
2243,11.285002,17.171005,11.67231,10.473618
2244,11.818154,16.49042,11.484024,10.363821
2245,10.189729,15.943112,13.933486,9.485745
2246,9.565843,16.304403,12.618898,11.0155945
2247,10.520667,15.689166,12.092669,9.669919
2248,11.168288,17.370968,11.635077,10.109858
2249,9.227876,17.585825,13.4017725,9.447235
2250,10.212385,17.194693,12.337772,9.560253
2251,10.440114,17.922895,12.497598,10.540515
2252,10.403472,18.462366,12.785418,10.756617
2253,10.756193,17.324821,12.011023,10.547886
2254,11.5864315,19.017525,11.606424,9.670713
2255,10.664852,20.267614,12.6635275,9.237331
2256,10.819241,19.072855,12.781652,9.157483
2257,10.154687,19.614338,12.220917,10.805959
2258,10.512702,21.657957,13.540723,8.372092
2259,10.1670885,21.156153,13.826572,9.822552
2260,10.542086,21.144436,12.237487,9.626378
2261,9.348286,21.60391,12.4561405,10.318748
2262,9.900565,21.311354,12.480113,9.908542
2263,9.0749,21.729082,11.927134,9.646897
2264,9.586258,19.770582,12.269393,9.446034
2265,10.127309,20.530962,13.32033,8.765772
2266,8.77017,19.696035,12.459734,9.757941
2267,10.932963,20.890282,12.150107,10.027323
2268,9.726056,20.336086,11.640122,10.363112
2269,11.077817,19.741419,12.077306,10.287683
2270,11.575532,18.952204,11.949582,9.51855
2271,10.136055,18.686779,13.1517935,9.265756
2272,9.266457,18.908733,14.037274,8.870402
2273,10.370273,18.844625,14.506196,9.553207
2274,10.745902,18.514977,13.063289,9.761704
2275,8.9503975,20.51032,12.835739,9.097871
2276,10.811693,19.675468,12.688061,9.518801
2277,10.204102,18.939152,11.914779,9.565801
2278,9.9787655,19.89785,12.908166,9.582962
2279,9.209692,19.29571,13.342628,8.895611
2280,10.046886,20.260519,12.538591,9.3274765
2281,9.499142,20.066202,12.578897,10.89083
2282,9.372152,19.049809,13.491234,9.3251705
2283,10.671959,20.300686,14.091104,8.72804
2284,9.882392,20.506756,12.013256,9.093454
2285,9.464316,20.347418,13.742371,8.942512
2286,8.40938,19.966682,12.616872,8.276539
2287,9.345521,20.091116,11.596551,9.270826
2288,9.760811,20.696903,13.440097,9.770688
2289,10.147686,19.65617,13.989165,9.493305
2290,9.897904,19.274591,14.087656,9.448395
2291,9.338529,18.226957,14.40936,8.040777
2292,9.774939,18.78737,13.059525,10.039535
2293,9.604652,18.913523,13.011685,11.529979
2294,9.044138,19.35375,12.282088,8.671329
2295,9.873302,19.072779,13.413056,9.83898
2296,10.040105,19.639307,14.036907,9.56009
2297,9.608816,19.917784,14.466127,9.032374
2298,9.374411,18.207684,12.822417,9.329154
2299,9.856343,17.570538,12.616376,9.571814
2300,8.792148,18.56774,13.6421,8.43989
2301,7.622206,19.125252,12.029139,8.81143
2302,8.759774,19.008932,14.642236,10.020229
2303,9.121126,18.899508,14.55173,9.145646
2304,8.914688,19.588324,13.529919,9.170192
2305,8.935804,19.499796,13.453378,8.999578
